age,gender,country,work_remotely,company_size,family_history,benefits,care_options,wellness_program,anonymity,leave,coworkers,supervisor,mental_health_consequence,physical_health_consequence,mental_vs_physical,treatment
42,Male,United States of America,Always,100-500,Yes,Yes,Yes,i don't know,Yes,Somewhat easy,Maybe,Yes,No,No,Yes,1
30,Female,United Kingdom,Sometimes,5-Jan,Yes,Yes,No,No,i don't know,Somewhat easy,Yes,Yes,Maybe,No,I don't know,1
36,Male,Russia,Sometimes,100-500,No,i don't know,i am not sure,No,i don't know,I don't know,No,Maybe,Maybe,Maybe,No,1
30,Male,Russia,Sometimes,500-1000,No,i don't know,No,No,i don't know,Neither easy nor difficult,No,Maybe,Maybe,Maybe,Yes,0
29,Male,United States of America,Always,25-Jun,No,i don't know,No,No,i don't know,Neither easy nor difficult,No,No,Maybe,Maybe,Yes,0
25,Male,United States of America,Sometimes,500-1000,No,i don't know,No,i don't know,i don't know,I don't know,Maybe,Maybe,Maybe,Maybe,No,0
25,Male,Belgium,Sometimes,26-100,No,No,Unknown,No,i don't know,Somewhat easy,Maybe,Maybe,No,No,Yes,0
24,Male,Russia,Never,500-1000,No,i don't know,i am not sure,No,i don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,0
25,Male,Russia,Sometimes,More than 1000,No,No,No,No,No,Somewhat easy,No,No,Yes,No,No,1
31,Male,Denmark,Never,26-100,i don't know,Yes,Yes,No,Yes,Very easy,Yes,Yes,No,No,Yes,0
37,Male,Canada,Sometimes,26-100,Yes,Yes,No,No,i don't know,I don't know,Maybe,No,Maybe,No,Yes,0
35,Male,United States of America,Never,100-500,No,i don't know,No,No,i don't know,Somewhat easy,Maybe,Yes,No,No,No,0
26,Female,Spain,Sometimes,25-Jun,Yes,not eligible for coverage / n/a,Unknown,Yes,Yes,Somewhat easy,Yes,Yes,Maybe,Maybe,I don't know,1
31,Male,United Kingdom,Always,100-500,i don't know,Yes,Yes,No,Yes,Somewhat easy,Yes,Yes,No,No,Yes,0
29,Female,United States of America,Always,500-1000,Yes,Yes,i am not sure,No,i don't know,Somewhat easy,Maybe,Maybe,Maybe,No,Yes,1
33,Male,France,Sometimes,26-100,Yes,i don't know,No,No,i don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,0
30,Male,India,Always,26-100,No,No,i am not sure,No,No,Somewhat easy,Maybe,No,Maybe,No,Yes,0
30,Male,United States of America,Sometimes,26-100,i don't know,Yes,Yes,No,i don't know,Neither easy nor difficult,Yes,Yes,Maybe,No,No,0
29,Female,United States of America,Never,100-500,Yes,Yes,Yes,No,i don't know,Somewhat difficult,No,No,Maybe,Maybe,I don't know,1
25,Female,United States of America,Sometimes,26-100,i don't know,i don't know,No,No,No,Somewhat difficult,No,No,Maybe,Maybe,No,1
27,Male,United States of America,Never,More than 1000,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Yes,No,No,Yes,1
26,Male,Germany,Sometimes,500-1000,No,Yes,i am not sure,No,Yes,Very easy,No,No,No,No,Yes,0
38,Female,United States of America,Always,500-1000,Yes,Yes,Yes,i don't know,Yes,Very easy,Yes,Yes,No,No,Yes,0
49,Male,United States of America,Sometimes,More than 1000,Yes,Yes,Yes,Yes,No,Very difficult,Maybe,No,Yes,No,No,1
30,Male,United States of America,Sometimes,26-100,Yes,Yes,Yes,No,Yes,Very easy,Yes,Yes,No,No,Yes,0
34,Male,France,Sometimes,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
31,Male,Russia,Never,100-500,No,No,No,No,i don't know,Very easy,No,No,Maybe,No,I don't know,0
29,Male,United States of America,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
31,Male,Germany,Sometimes,100-500,No,No,No,No,i don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,0
34,Male,Germany,Never,100-500,i don't know,not eligible for coverage / n/a,i am not sure,Yes,i don't know,Neither easy nor difficult,No,No,Yes,Maybe,Yes,1
28,Male,United States of America,Sometimes,25-Jun,No,i don't know,No,No,i don't know,Somewhat easy,Yes,Maybe,Maybe,No,No,1
35,Female,United Kingdom,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
27,Male,Germany,Always,500-1000,i don't know,i don't know,i am not sure,No,i don't know,Very easy,No,Maybe,No,No,I don't know,0
33,Male,Germany,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
37,Female,United States of America,Sometimes,25-Jun,i don't know,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,1
45,Male,United Kingdom,Sometimes,More than 1000,No,not eligible for coverage / n/a,Unknown,Yes,Yes,Very easy,Maybe,Maybe,Yes,No,Yes,1
31,Female,United States of America,Always,25-Jun,Yes,No,Unknown,No,i don't know,Somewhat easy,Maybe,Yes,No,No,Yes,1
36,Male,United States of America,Never,More than 1000,No,No,i am not sure,No,i don't know,Somewhat difficult,No,No,Maybe,Maybe,No,0
30,Male,United States of America,Never,500-1000,Yes,Yes,Yes,No,i don't know,I don't know,Maybe,Maybe,Maybe,No,I don't know,1
33,Female,United States of America,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Very difficult,No,Maybe,Maybe,Maybe,No,1
45,Female,Canada,Always,500-1000,i don't know,Yes,i am not sure,No,i don't know,I don't know,No,No,Maybe,No,I don't know,1
30,Female,United States of America,Sometimes,26-100,Yes,Yes,Yes,Yes,i don't know,Somewhat easy,Maybe,Yes,No,No,Yes,1
30,Male,United States of America,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,No,1
29,Male,United States of America,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
36,Male,Mexico,Sometimes,5-Jan,Yes,No,Yes,Yes,No,Somewhat easy,Yes,Yes,No,No,No,0
28,Male,United States of America,Never,26-100,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,No,Yes,1
36,Male,United States of America,Sometimes,26-100,No,Yes,i am not sure,i don't know,i don't know,Somewhat easy,Maybe,Yes,No,No,Yes,1
37,Female,United States of America,Sometimes,500-1000,Yes,Yes,Yes,No,i don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,1
29,Male,United States of America,Sometimes,26-100,Yes,Yes,i am not sure,No,Yes,Very easy,Yes,Yes,No,No,Yes,1
25,Male,United States of America,Sometimes,26-100,Yes,Yes,Yes,i don't know,Yes,Very easy,Yes,Yes,No,No,Yes,1
34,Female,United States of America,Sometimes,26-100,No,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,Yes,No,No,No,0
37,Male,Canada,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,Yes,1
40,Female,United States of America,Sometimes,More than 1000,Yes,Yes,Yes,No,i don't know,Neither easy nor difficult,Maybe,Yes,Maybe,No,I don't know,1
32,Male,United States of America,Always,100-500,No,Yes,Yes,Yes,i don't know,Somewhat difficult,Maybe,No,Yes,Maybe,No,0
38,Male,United Kingdom,Never,26-100,No,i don't know,No,No,i don't know,Somewhat easy,Maybe,Maybe,Maybe,No,I don't know,0
31,Female,United States of America,Sometimes,26-100,Yes,Yes,i am not sure,Yes,i don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,No,1
28,Female,United States of America,Sometimes,26-100,Yes,Yes,Yes,i don't know,Yes,Very easy,Yes,Yes,No,No,Yes,1
27,Female,United Kingdom,Sometimes,100-500,Yes,No,No,No,i don't know,Very difficult,No,No,Yes,Maybe,No,1
28,Female,United States of America,Sometimes,26-100,No,Yes,Yes,No,Yes,Somewhat easy,Maybe,Maybe,Maybe,No,I don't know,1
26,Male,Germany,Always,25-Jun,Yes,i don't know,Yes,No,i don't know,Somewhat easy,No,Maybe,No,No,Yes,1
40,Male,United States of America,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,Yes,No,No,Yes,1
42,Male,United States of America,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Yes,No,No,Yes,1
36,Male,United States of America,Never,26-100,i don't know,Yes,i am not sure,i don't know,i don't know,Very easy,Maybe,Maybe,No,No,Yes,0
44,Male,United Kingdom,Never,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
24,Male,United States of America,Never,500-1000,i don't know,Yes,Yes,No,i don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,No,1
44,Male,United States of America,Never,100-500,i don't know,i don't know,i am not sure,No,i don't know,Very difficult,No,Maybe,Yes,Yes,No,1
31,Male,United States of America,Always,More than 1000,No,Yes,i am not sure,i don't know,i don't know,Neither easy nor difficult,Yes,No,No,No,I don't know,1
49,Male,United States of America,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
27,Other,United States of America,Sometimes,26-100,Yes,Yes,No,Yes,Yes,Very difficult,Maybe,No,Maybe,Maybe,I don't know,0
27,Male,United States of America,Always,More than 1000,Yes,Yes,i am not sure,i don't know,i don't know,Somewhat easy,No,Maybe,No,No,I don't know,1
28,Male,United States of America,Sometimes,100-500,No,Yes,Yes,No,i don't know,I don't know,Maybe,Maybe,No,No,I don't know,1
20,Female,United States of America,Never,25-Jun,Yes,Yes,Yes,No,i don't know,Very difficult,No,No,Yes,Maybe,No,1
41,Male,Germany,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
38,Male,Australia,Sometimes,100-500,i don't know,No,Unknown,No,i don't know,Neither easy nor difficult,Maybe,Maybe,Yes,No,I don't know,1
29,Male,United States of America,Never,100-500,Yes,i don't know,No,No,i don't know,Somewhat difficult,No,No,Yes,Maybe,I don't know,0
44,Female,United States of America,Always,100-500,Yes,Yes,No,No,i don't know,Very easy,Maybe,Maybe,Maybe,No,No,1
31,Male,United States of America,Sometimes,500-1000,i don't know,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,No,Yes,No,No,Yes,0
54,Male,United States of America,Sometimes,25-Jun,Yes,No,No,No,No,Somewhat difficult,No,No,Yes,Maybe,No,1
33,Male,Germany,Sometimes,500-1000,Yes,i don't know,No,No,i don't know,Somewhat easy,No,Maybe,No,No,I don't know,0
29,Male,Netherlands,Never,25-Jun,No,No,No,No,No,I don't know,No,No,Maybe,Maybe,No,0
26,Other,United Kingdom,Sometimes,26-100,i don't know,i don't know,i am not sure,No,i don't know,I don't know,Maybe,Maybe,No,No,I don't know,1
26,Male,United Kingdom,Never,26-100,Yes,i don't know,No,Yes,i don't know,Somewhat easy,Yes,Yes,No,No,Yes,0
34,Male,United Kingdom,Sometimes,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
38,Female,United States of America,Sometimes,100-500,Yes,i don't know,No,No,i don't know,I don't know,No,No,Yes,Yes,I don't know,1
30,Male,United Kingdom,Sometimes,100-500,Yes,No,No,No,i don't know,Very easy,Maybe,Maybe,No,No,I don't know,1
34,Male,United Kingdom,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
47,Female,Australia,Sometimes,More than 1000,Yes,Yes,i am not sure,No,Yes,Very easy,Maybe,Maybe,No,No,Yes,1
33,Female,Switzerland,Sometimes,100-500,Yes,Yes,i am not sure,Yes,i don't know,Very easy,Yes,Yes,No,No,Yes,1
22,Male,United Kingdom,Sometimes,More than 1000,No,i don't know,Unknown,No,i don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,0
28,Other,United Kingdom,Never,25-Jun,i don't know,not eligible for coverage / n/a,Unknown,No,No,Somewhat difficult,No,Yes,No,No,I don't know,1
31,Male,United Kingdom,Always,500-1000,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Yes,No,No,Yes,1
24,Unknown,United Kingdom,Sometimes,More than 1000,Yes,not eligible for coverage / n/a,Unknown,No,i don't know,Somewhat easy,Yes,Yes,Maybe,No,No,1
56,Male,Australia,Sometimes,5-Jan,No,No,i am not sure,No,i don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,No,0
57,Female,Australia,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
39,Male,Spain,Always,100-500,No,i don't know,i am not sure,No,Yes,I don't know,Maybe,Maybe,Maybe,No,I don't know,0
21,Male,United Kingdom,Never,5-Jan,Yes,No,No,i don't know,i don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,Yes,1
31,Female,Russia,Sometimes,500-1000,No,i don't know,No,No,i don't know,Very easy,Maybe,Maybe,No,No,Yes,0
63,Male,Canada,Always,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
46,Male,Australia,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
32,Female,United Kingdom,Never,25-Jun,Yes,i don't know,No,No,i don't know,Neither easy nor difficult,No,Maybe,Maybe,No,Yes,1
35,Male,United Kingdom,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
34,Male,United Kingdom,Sometimes,100-500,No,Yes,i am not sure,Yes,i don't know,Very easy,Maybe,Maybe,No,No,Yes,0
35,Male,United States of America,Always,25-Jun,Yes,not eligible for coverage / n/a,Unknown,No,i don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,Yes,1
31,Male,Norway,Sometimes,26-100,No,No,i am not sure,Yes,Yes,Very easy,Maybe,Yes,No,No,Yes,0
35,Female,United States of America,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
36,Male,United States of America,Sometimes,26-100,No,i don't know,No,No,i don't know,Somewhat easy,Yes,Yes,No,No,Yes,0
50,Male,United States of America,Sometimes,26-100,Yes,Yes,i am not sure,No,i don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,Yes,1
31,Male,United States of America,Sometimes,25-Jun,Yes,i don't know,i am not sure,No,Yes,Very easy,Maybe,Yes,No,No,I don't know,1
47,Male,United States of America,Never,100-500,Yes,Yes,Yes,No,i don't know,I don't know,Yes,Maybe,Maybe,Maybe,I don't know,1
32,Female,Canada,Never,25-Jun,No,i don't know,i am not sure,No,i don't know,Very difficult,Maybe,No,Maybe,Maybe,I don't know,1
23,Female,Canada,Never,26-100,Yes,Yes,Yes,No,Yes,Somewhat easy,Maybe,Yes,No,No,Yes,1
43,Female,Canada,Sometimes,25-Jun,Yes,Yes,i am not sure,No,i don't know,Somewhat difficult,Yes,Yes,Maybe,No,Yes,1
26,Female,Canada,Sometimes,25-Jun,Yes,Yes,Yes,No,i don't know,Neither easy nor difficult,Yes,Yes,No,No,Yes,0
26,Female,Canada,Never,26-100,Yes,i don't know,i am not sure,No,i don't know,I don't know,Maybe,Maybe,No,No,I don't know,0
55,Female,Canada,Sometimes,25-Jun,No,Yes,Yes,Yes,Yes,Very easy,Maybe,Yes,No,No,Yes,0
27,Male,Canada,Never,25-Jun,No,Yes,No,Yes,i don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,1
34,Male,Argentina,Always,100-500,Yes,not eligible for coverage / n/a,No,No,i don't know,Somewhat difficult,No,No,Maybe,No,I don't know,1
25,Male,India,Never,26-100,Yes,No,Unknown,No,i don't know,Somewhat difficult,No,No,Yes,Maybe,I don't know,0
35,Male,United States of America,Sometimes,26-100,No,i don't know,No,No,i don't know,Somewhat difficult,Maybe,Yes,Yes,No,I don't know,0
37,Male,Netherlands,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
38,Female,United States of America,Sometimes,26-100,i don't know,Yes,i am not sure,No,i don't know,Very easy,Yes,Yes,No,No,Yes,1
29,Male,Canada,Never,26-100,i don't know,Yes,No,No,i don't know,Very difficult,Maybe,Maybe,Yes,Maybe,I don't know,1
28,Male,United Kingdom,Always,500-1000,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Maybe,Maybe,No,Yes,1
29,Male,United Kingdom,Always,25-Jun,Yes,not eligible for coverage / n/a,Unknown,Yes,i don't know,Somewhat easy,Yes,Yes,No,No,Yes,1
40,Male,United States of America,Always,More than 1000,Yes,Yes,i am not sure,No,i don't know,Somewhat easy,Maybe,Yes,No,No,No,0
25,Female,United States of America,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Very easy,Yes,Yes,No,No,Yes,1
29,Male,Sweden,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
29,Female,United States of America,Sometimes,26-100,Yes,Yes,Yes,Yes,i don't know,Somewhat easy,Yes,Yes,No,No,Yes,0
35,Male,Netherlands,Sometimes,5-Jan,No,Yes,Yes,No,i don't know,Very easy,Yes,Yes,No,No,Yes,1
25,Male,United States of America,Sometimes,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
43,Male,United States of America,Sometimes,26-100,No,No,Yes,No,i don't know,Somewhat difficult,Maybe,Maybe,No,No,I don't know,1
26,Male,Ireland,Never,25-Jun,No,No,Unknown,No,i don't know,Very easy,Yes,Yes,No,No,Yes,0
31,Male,Germany,Never,100-500,No,i don't know,No,No,i don't know,Very easy,No,No,No,No,I don't know,1
31,Female,United States of America,Always,100-500,Yes,Yes,Yes,i don't know,Yes,Very easy,Maybe,Yes,No,No,Yes,0
45,Female,United States of America,Always,More than 1000,i don't know,i don't know,No,No,i don't know,Somewhat difficult,No,Yes,Maybe,No,No,1
23,Male,Italy,Never,More than 1000,i don't know,No,No,No,No,Somewhat easy,No,No,Maybe,No,I don't know,0
39,Male,United States of America,Never,25-Jun,i don't know,i don't know,No,No,i don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,No,I don't know,0
27,Female,United States of America,Sometimes,26-100,Yes,Yes,i am not sure,No,i don't know,Somewhat easy,Yes,Yes,No,No,Yes,0
28,Male,United States of America,Sometimes,100-500,Yes,Yes,i am not sure,No,i don't know,Very easy,Yes,Yes,Maybe,No,I don't know,1
36,Male,United States of America,Always,500-1000,No,i don't know,No,No,i don't know,I don't know,Maybe,Maybe,Maybe,No,No,0
22,Male,Germany,Never,100-500,No,i don't know,No,No,i don't know,Somewhat difficult,Maybe,No,Maybe,No,No,0
51,Male,United States of America,Never,5-Jan,i don't know,Yes,i am not sure,No,No,Neither easy nor difficult,Maybe,Yes,No,No,I don't know,1
39,Male,Denmark,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
36,Male,United States of America,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
28,Male,United States of America,Sometimes,More than 1000,Yes,not eligible for coverage / n/a,i am not sure,No,i don't know,Somewhat difficult,Yes,Yes,No,No,I don't know,1
40,Male,United States of America,Always,100-500,No,i don't know,No,No,Yes,I don't know,No,No,Yes,Maybe,I don't know,0
35,Female,United States of America,Sometimes,26-100,i don't know,Yes,Yes,Yes,Yes,Very easy,Yes,Yes,No,No,Yes,1
38,Male,United States of America,Never,100-500,Yes,Yes,Yes,No,i don't know,Somewhat difficult,No,No,Yes,No,No,1
29,Male,United States of America,Always,100-500,Yes,Yes,i am not sure,No,i don't know,I don't know,No,Maybe,Yes,Maybe,I don't know,1
43,Male,Netherlands,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
31,Female,United States of America,Always,500-1000,Yes,Yes,No,No,i don't know,Somewhat easy,Yes,Yes,Maybe,Maybe,I don't know,1
45,Male,United States of America,Sometimes,100-500,No,No,No,No,i don't know,Somewhat difficult,Maybe,Maybe,Yes,No,No,0
26,Male,United States of America,Sometimes,100-500,Yes,i don't know,i am not sure,No,i don't know,Somewhat easy,Maybe,Maybe,No,No,No,0
42,Male,United States of America,Always,100-500,No,Yes,Yes,Yes,Yes,Very easy,Yes,Yes,No,No,Yes,0
28,Female,United States of America,Always,100-500,No,Yes,i am not sure,Yes,Yes,Somewhat easy,Maybe,Yes,No,No,Yes,0
28,Male,United Kingdom,Sometimes,25-Jun,Yes,not eligible for coverage / n/a,Unknown,No,i don't know,I don't know,Yes,Maybe,Maybe,No,I don't know,0
39,Female,United States of America,Sometimes,100-500,Yes,Yes,No,Yes,i don't know,I don't know,Yes,Maybe,Maybe,Yes,Yes,1
34,Male,United States of America,Sometimes,25-Jun,No,Yes,i am not sure,No,Yes,Somewhat easy,Maybe,Maybe,Maybe,Maybe,Yes,1
28,Female,United States of America,Always,26-100,Yes,i don't know,No,No,i don't know,Somewhat easy,Yes,Yes,No,No,Yes,1
35,Female,United States of America,Sometimes,500-1000,No,Yes,Yes,i don't know,Yes,Somewhat easy,Maybe,Yes,Maybe,Maybe,Yes,0
42,Male,Canada,Sometimes,25-Jun,No,i don't know,i am not sure,No,Yes,Neither easy nor difficult,Maybe,Yes,No,No,Yes,0
33,Other,United States of America,Sometimes,25-Jun,Yes,Yes,No,No,Yes,Somewhat easy,Yes,Yes,No,No,Yes,1
29,Male,United Kingdom,Always,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
34,Male,Finland,Sometimes,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
28,Male,Canada,Always,26-100,Yes,Yes,i am not sure,No,i don't know,I don't know,Maybe,Maybe,Maybe,No,I don't know,0
22,Female,Russia,Sometimes,500-1000,No,i don't know,No,Yes,i don't know,Very easy,No,No,Maybe,No,Yes,0
28,Female,United States of America,Sometimes,26-100,Yes,Yes,Yes,No,Yes,Neither easy nor difficult,Maybe,Maybe,Yes,Maybe,No,1
26,Female,United States of America,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
21,Female,Australia,Never,More than 1000,Yes,Yes,i am not sure,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,1
38,Male,Netherlands,Never,26-100,Yes,No,No,No,No,Somewhat easy,Yes,Maybe,Yes,Maybe,No,1
33,Male,United States of America,Sometimes,More than 1000,Yes,Yes,Yes,Yes,i don't know,Somewhat easy,Maybe,Yes,No,No,Yes,1
28,Female,United States of America,Sometimes,100-500,Yes,Yes,i am not sure,Yes,Yes,Very easy,Maybe,Yes,No,No,I don't know,1
32,Male,United States of America,Sometimes,26-100,i don't know,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,No,No,Yes,1
24,Female,Australia,Sometimes,5-Jan,i don't know,not eligible for coverage / n/a,Unknown,No,i don't know,Somewhat difficult,No,No,Yes,Maybe,I don't know,1
35,Male,United States of America,Always,500-1000,Yes,i don't know,i am not sure,No,i don't know,Somewhat easy,Maybe,No,Maybe,No,No,1
41,Male,United States of America,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
38,Female,United States of America,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
24,Female,United States of America,Sometimes,More than 1000,Yes,i don't know,i am not sure,No,i don't know,Somewhat difficult,Maybe,No,Yes,Yes,No,1
30,Male,United States of America,Sometimes,100-500,Yes,Yes,Yes,No,i don't know,Very easy,Yes,Yes,No,No,I don't know,1
47,Female,United States of America,Sometimes,100-500,No,Yes,Yes,i don't know,Yes,I don't know,No,No,Yes,Yes,I don't know,0
26,Female,United States of America,Never,More than 1000,No,Yes,i am not sure,i don't know,Yes,Somewhat easy,No,No,Maybe,No,I don't know,0
32,Male,United States of America,Always,100-500,i don't know,Yes,Yes,No,i don't know,Somewhat easy,No,Yes,No,No,Yes,1
32,Male,United States of America,Sometimes,100-500,Yes,i don't know,No,No,i don't know,Neither easy nor difficult,No,Maybe,Maybe,No,I don't know,0
37,Male,United States of America,Always,500-1000,i don't know,i don't know,No,i don't know,i don't know,Somewhat easy,Yes,Yes,No,No,Yes,1
33,Male,Netherlands,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
28,Female,United Kingdom,Sometimes,25-Jun,i don't know,No,Unknown,No,i don't know,Somewhat easy,No,Maybe,No,No,Yes,0
22,Male,Netherlands,Never,26-100,No,i don't know,No,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,1
30,Male,United States of America,Sometimes,500-1000,Yes,i don't know,i am not sure,Yes,i don't know,Somewhat easy,Maybe,Maybe,No,Maybe,Yes,1
42,Female,United States of America,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
34,Male,United States of America,Never,100-500,i don't know,Yes,i am not sure,No,Yes,Somewhat easy,Maybe,Maybe,Maybe,No,I don't know,0
32,Male,United States of America,Sometimes,25-Jun,No,Yes,Yes,No,Yes,Very easy,No,Yes,Maybe,No,Yes,1
37,Male,United Kingdom,Always,100-500,Yes,No,No,No,i don't know,Somewhat easy,Yes,Yes,Maybe,Maybe,I don't know,1
31,Female,United States of America,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
31,Male,United States of America,Always,26-100,Yes,i don't know,No,Yes,i don't know,Very easy,Maybe,Maybe,Yes,Maybe,Yes,1
26,Male,Colombia,Always,26-100,i don't know,No,i am not sure,No,i don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,0
30,Male,United States of America,Sometimes,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
36,Male,United States of America,Sometimes,100-500,Yes,Yes,Yes,No,i don't know,I don't know,Maybe,Yes,Maybe,No,No,1
38,Male,United States of America,Always,100-500,Yes,Yes,No,No,i don't know,I don't know,No,No,Maybe,No,I don't know,1
24,Male,United States of America,Sometimes,26-100,No,Yes,Yes,No,i don't know,Somewhat easy,Yes,Maybe,No,No,I don't know,1
26,Male,United States of America,Sometimes,100-500,i don't know,i don't know,No,No,i don't know,Somewhat difficult,No,Maybe,Maybe,Maybe,I don't know,0
37,Male,United States of America,Never,More than 1000,Yes,Yes,i am not sure,Yes,i don't know,I don't know,Maybe,Yes,Maybe,No,I don't know,1
27,Female,United Kingdom,Never,26-100,Yes,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,Maybe,Maybe,No,No,No,1
32,Male,Switzerland,Always,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
32,Male,Netherlands,Never,26-100,No,Yes,i am not sure,Yes,Yes,Very easy,Yes,Yes,No,No,Yes,1
30,Male,Netherlands,Never,25-Jun,i don't know,Yes,i am not sure,No,No,Neither easy nor difficult,Yes,Yes,No,No,Yes,1
26,Female,Germany,Always,26-100,No,No,No,Yes,i don't know,Very difficult,Yes,Yes,No,No,Yes,1
27,Female,United Kingdom,Never,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
27,Male,Netherlands,Always,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
29,Male,Colombia,Always,26-100,Yes,not eligible for coverage / n/a,No,No,i don't know,I don't know,Maybe,Yes,No,No,I don't know,1
26,Other,Germany,Never,26-100,Yes,Yes,Yes,Yes,i don't know,I don't know,Yes,Maybe,Maybe,Maybe,I don't know,1
23,Female,United States of America,Never,100-500,No,Yes,i am not sure,No,i don't know,Somewhat difficult,Maybe,Maybe,No,No,No,0
30,Male,United States of America,Sometimes,100-500,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Yes,No,No,Yes,1
